faiss_id,score,type,topic,stance,confidence,text,row_id,utterance_range
43,0.28030937910079956,doctrine,theological interpretation,affirm,0.8,The interpretation is addition.,43,"[425, 449]"
44,0.1750217229127884,doctrine,nature of God,affirm,0.9,One divine nature.,44,"[500, 524]"
45,0.1679508239030838,doctrine,Christology,affirm,0.9,Two natures.,45,"[500, 524]"
84,0.16487449407577515,doctrine,salvation,affirm,0.9,"Even if they have a mustard seed of Iman, they will attain Jannahi.",84,"[1000, 1024]"
48,0.16476623713970184,doctrine,God's nature,affirm,0.9,Malachi six-three says God does not change in nature.,48,"[525, 549]"
24,0.1641390472650528,doctrine,Prayer,affirm,0.6,The fact that he prayed implies that he needs to pray.,24,"[125, 149]"
80,0.15092411637306213,doctrine,God's attributes,affirm,0.9,Immortal is an eternal attribute of God.,80,"[925, 949]"
5,0.1481664776802063,doctrine,Christology,affirm,0.9,He has one divine will.,5,"[25, 49]"
41,0.14414313435554504,doctrine,divine nature,affirm,0.9,There were no limitations to his divine nature.,41,"[425, 449]"
95,0.13563448190689087,doctrine,immortality,affirm,0.9,"In 1 Timothy 6 verse 16, it says he alone is immortal.",95,"[1050, 1074]"
7,0.13486775755882263,doctrine,Divine Nature,affirm,0.8,There's one will in the divine essence.,7,"[25, 49]"
39,0.1348261833190918,doctrine,Kenosis,neutral,0.7,The word is he emptied something.,39,"[250, 274]"
29,0.13362768292427063,doctrine,prayer,affirm,0.8,Human prayers can be rejected.,29,"[150, 174]"
62,0.13166409730911255,doctrine,nature of Christ,affirm,0.9,Jesus has a divine nature.,62,"[675, 699]"
101,0.13041700422763824,doctrine,divine essence,affirm,0.8,He alone describes the divine essence.,101,"[1125, 1149]"
19,0.12769193947315216,doctrine,Nature of God,affirm,0.9,"The Father has the Hyposthesis, which is a person.",19,"[100, 124]"
81,0.12477443367242813,doctrine,God's essence,affirm,0.9,God's eternal attributes are his essence.,81,"[925, 949]"
88,0.12399803102016449,doctrine,human nature,affirm,0.7,I have an essence.,88,"[1000, 1024]"
85,0.12069571018218994,doctrine,divine promise,affirm,0.9,This is the promise of Allah and Allah never breaks His mind.,85,"[1000, 1024]"
40,0.11895288527011871,doctrine,human nature,affirm,0.9,The addition of limitations was strictly the coming into the world with his human nature.,40,"[425, 449]"
